date,name,code,open,high,low,close,volume,turnover,turnover_rate,pos_p(mean),pos_p(median)
2022/6/14,创业板指,399006,2515.51,2551.08,2461.54,2548.31,115693742,1.84E+11,2.69,0.269409292,0.0796
2022/6/15,创业板指,399006,2560.64,2631.94,2550.5,2575.09,127576522,2.21E+11,2.97,0.307160056,0.1359
2022/6/16,创业板指,399006,2575.96,2616.82,2574.95,2585.47,122937646,1.94E+11,2.86,0.287626087,0.1062
2022/6/17,创业板指,399006,2561.4,2666.08,2559.67,2657.21,121119135,2.10E+11,2.82,0.26321344,0.0625
2022/6/20,创业板指,399006,2672.77,2741.59,2672.32,2710.14,125890314,2.21E+11,2.93,0.279652201,0.0913
2022/6/21,创业板指,399006,2707.98,2723.03,2664.69,2692.98,131251428,2.09E+11,3.05,0.282899647,0.1009
2022/6/22,创业板指,399006,2701.63,2721.81,2677.01,2677.29,119271805,2.00E+11,2.77,0.277960793,0.0818
2022/6/23,创业板指,399006,2693.75,2760.1,2672.58,2760.1,122679107,2.10E+11,2.85,0.279528328,0.0953
2022/6/24,创业板指,399006,2779.41,2824.44,2761.46,2824.44,127638735,2.32E+11,2.97,0.300214157,0.128
2022/6/27,创业板指,399006,2838.58,2863.66,2819.29,2830.6,133676288,2.40E+11,3.11,0.273839298,0.1032
2022/6/28,创业板指,399006,2827.35,2850.29,2771.93,2840.42,139739843,2.41E+11,3.25,0.302962656,0.0997
2022/6/29,创业板指,399006,2817.12,2845.46,2764.4,2768.61,145707205,2.53E+11,3.39,0.266101208,0.084
2022/6/30,创业板指,399006,2776.39,2834.49,2772.77,2810.6,123626806,2.18E+11,2.88,0.335383851,0.14195
2022/7/1,创业板指,399006,2810.11,2822.8,2768.48,2781.94,110512796,1.93E+11,2.57,0.271603409,0.0827
2022/7/4,创业板指,399006,2764.62,2834.69,2748.13,2834.69,109141294,2.09E+11,2.54,0.264942045,0.09765
2022/7/5,创业板指,399006,2845.74,2867.43,2780.36,2825.13,116374280,2.21E+11,2.71,0.241231737,0.07235
2022/7/6,创业板指,399006,2826.35,2858.05,2776.7,2802.72,105108564,2.01E+11,2.45,0.290780833,0.0967
2022/7/7,创业板指,399006,2814.15,2852.8,2792.18,2849.71,103292122,2.09E+11,2.4,0.229014159,0.08
2022/7/8,创业板指,399006,2868.69,2887.72,2810.65,2817.64,115016320,2.12E+11,2.68,0.262040065,0.0745
2022/7/11,创业板指,399006,2804.55,2804.8,2742.46,2767.46,101740944,1.84E+11,2.37,0.258904377,0.0504
2022/7/12,创业板指,399006,2768.82,2774.12,2697.68,2702.69,97870484,1.73E+11,2.28,0.241079783,0.0512
2022/7/13,创业板指,399006,2708.1,2762.51,2674.47,2746.86,93445579,1.71E+11,2.17,0.286931296,0.0712
2022/7/14,创业板指,399006,2739.92,2841.39,2736.32,2819.13,102746448,1.97E+11,2.39,0.293205685,0.0693
2022/7/15,创业板指,399006,2804.18,2835.01,2760.5,2760.5,112050434,2.00E+11,2.61,0.279991944,0.0612
2022/7/18,创业板指,399006,2778.4,2812.67,2736.26,2800.36,118130253,2.09E+11,2.75,0.272676442,0.08
2022/7/19,创业板指,399006,2799.38,2799.38,2736.67,2750.87,119441901,2.10E+11,2.78,0.250565931,0.0443
2022/7/20,创业板指,399006,2764.25,2786.29,2754.18,2765.16,115046371,1.97E+11,2.68,0.276570609,0.0859
2022/7/21,创业板指,399006,2756.32,2794.37,2741.31,2751.41,112492706,1.95E+11,2.62,0.276241423,0.0683
2022/7/22,创业板指,399006,2776.98,2788.94,2714.12,2737.31,108559373,1.87E+11,2.53,0.257893735,0.0821
2022/7/25,创业板指,399006,2732.61,2736.73,2693.16,2704.95,97962088,1.67E+11,2.28,0.253819453,0.0641
2022/7/26,创业板指,399006,2708.74,2729.38,2682.21,2713.46,93019219,1.58E+11,2.16,0.265292982,0.0788
2022/7/27,创业板指,399006,2710.74,2730.17,2696.2,2714.25,100393697,1.77E+11,2.34,0.271891444,0.0623
2022/7/28,创业板指,399006,2734.63,2749.14,2704.05,2705.9,120107323,2.09E+11,2.79,0.269036761,0.0726
2022/7/29,创业板指,399006,2716.1,2718.53,2665.65,2670.45,114185707,2.02E+11,2.66,0.257774935,0.0723
2022/8/1,创业板指,399006,2662.76,2734.64,2641.18,2733.74,114074695,2.06E+11,2.65,0.309589844,0.10615
2022/8/2,创业板指,399006,2692.12,2716.04,2651.85,2678.62,150284682,2.41E+11,3.5,0.262111794,0.0519
2022/8/3,创业板指,399006,2687.25,2716.22,2620.39,2628.82,135171218,2.33E+11,3.14,0.307617903,0.0967
2022/8/4,创业板指,399006,2645,2655.66,2610.5,2640.78,109966584,1.87E+11,2.56,0.334582066,0.1563
2022/8/5,创业板指,399006,2648.05,2686.23,2637.24,2683.6,121736685,2.21E+11,2.83,0.264288024,0.0594
2022/8/8,创业板指,399006,2668.99,2679.68,2647.25,2675.69,109973891,2.07E+11,2.56,0.248574242,0.0442
2022/8/9,创业板指,399006,2668.92,2698.46,2658.69,2694.8,111774869,2.12E+11,2.6,0.278065541,0.0634
2022/8/10,创业板指,399006,2688.13,2692.25,2645.55,2658.58,112191127,2.10E+11,2.61,0.202217561,0.0438
2022/8/11,创业板指,399006,2672.18,2724.85,2650.88,2721.49,131758742,2.38E+11,3.07,0.315574262,0.1341
2022/8/12,创业板指,399006,2712.69,2717.68,2689.67,2690.83,123906983,2.09E+11,2.88,0.259957534,0.0515
2022/8/15,创业板指,399006,2688.66,2734.33,2686.82,2718.59,109348711,2.03E+11,2.54,0.298650318,0.1219
2022/8/16,创业板指,399006,2725.93,2759.52,2718.17,2731.39,113334106,2.14E+11,2.64,0.299283234,0.099
2022/8/17,创业板指,399006,2739.48,2783.93,2719.22,2777.91,119572889,2.25E+11,2.78,0.273280749,0.0883
2022/8/18,创业板指,399006,2771.15,2797.49,2769.21,2775.82,120927253,2.24E+11,2.81,0.274352571,0.0554
2022/8/19,创业板指,399006,2779.99,2780.1,2733.05,2734.22,131774370,2.33E+11,3.07,0.244409894,0.0731
2022/8/22,创业板指,399006,2730.42,2782.67,2715.16,2779.02,112627375,2.01E+11,2.62,0.23202,0.0271
2022/8/23,创业板指,399006,2775.21,2802.05,2764.52,2780.31,105766486,1.93E+11,2.46,0.252651176,0.06025
2022/8/24,创业板指,399006,2800.38,2803.43,2675.88,2679.05,126146502,2.27E+11,2.93,0.24292278,0.0426
2022/8/25,创业板指,399006,2688.86,2694.16,2634.85,2667.3,106746535,1.88E+11,2.48,0.234027315,0.06015
2022/8/26,创业板指,399006,2666.21,2677.73,2634.43,2640.29,95427328,1.72E+11,2.22,0.265189406,0.0563
2022/8/29,创业板指,399006,2599.84,2641.17,2595.71,2630.51,89830569,1.58E+11,2.09,0.274944907,0.07155
2022/8/30,创业板指,399006,2630.13,2632.13,2594.78,2612.14,94137481,1.61E+11,2.19,0.236961081,0.04045
2022/8/31,创业板指,399006,2596.16,2611.65,2550.99,2570.41,106284307,1.87E+11,2.47,0.260594427,0.05125
2022/9/1,创业板指,399006,2561.93,2584.62,2531.81,2533.85,85700860,1.46E+11,1.99,0.23200872,0.0373
2022/9/2,创业板指,399006,2548.18,2552.34,2517.46,2533.02,85760128,1.43E+11,2,0.279610612,0.0738
2022/9/5,创业板指,399006,2528.71,2553.11,2519.89,2538.2,79959835,1.40E+11,1.86,0.297045138,0.1036
2022/9/6,创业板指,399006,2541.12,2542.98,2493.43,2540.64,81661953,1.55E+11,1.9,0.240804988,0.0514
